datetime,open,high,low,close,volume
2024-08-26 09:28:00,227.21001,227.21001,226.32001,226.7084,1218002
2024-08-26 09:32:00,226.705,226.9599,226.60001,226.83,526456
2024-08-26 09:36:00,226.82001,226.95,226.636,226.7,399067
2024-08-26 09:40:00,226.7,226.77,226.22009,226.42999,398619
2024-08-26 09:44:00,226.44,226.63,226.22,226.3299,273382
2024-08-26 09:48:00,226.33,226.35001,226.03999,226.138,274629
2024-08-26 09:52:00,226.1403,226.55,226.1301,226.535,276413
2024-08-26 09:56:00,226.535,226.53999,226.28011,226.34,188927
2024-08-26 10:00:00,226.35001,226.58,226.12,226.57001,315691
2024-08-26 10:04:00,226.56,226.72,226.31,226.35001,283173
2024-08-26 10:08:00,226.3573,226.39999,225.3,225.34,527987
2024-08-26 10:12:00,225.3297,225.69,225.16299,225.245,333165
2024-08-26 10:16:00,225.24001,225.24001,224.7,224.795,450536
2024-08-26 10:20:00,224.81,225.07001,224.64999,224.69,331451
2024-08-26 10:24:00,224.73,225.09,224.4772,225.02969,347599
2024-08-26 10:28:00,225.0273,225.04201,224.50999,224.645,291256
2024-08-26 10:32:00,224.63,224.63,224.13,224.28,326065
2024-08-26 10:36:00,224.25,224.38,223.8905,224.015,537845
2024-08-26 10:40:00,224.0,224.33,223.98,224.16,310939
2024-08-26 10:44:00,224.145,224.27,223.92999,224.15199,297766
2024-08-26 10:48:00,224.16,224.23,224.0,224.09129,200938
2024-08-26 10:52:00,224.10001,224.53999,224.09399,224.52,272792
2024-08-26 10:56:00,224.52,224.85001,224.50999,224.82001,251408
2024-08-26 11:00:00,224.80659,224.86,224.71001,224.84,184497
2024-08-26 11:04:00,224.82001,224.96001,224.74001,224.75999,235838
2024-08-26 11:08:00,224.75999,224.89,224.73,224.82001,163176
2024-08-26 11:12:00,224.82001,225.10001,224.6852,224.73,286358
2024-08-26 11:16:00,224.735,224.78999,224.53999,224.73,179824
2024-08-26 11:20:00,224.73,225.19,224.73,225.11,252205
2024-08-26 11:24:00,225.10001,225.1369,224.85001,224.94949,180449
2024-08-26 11:28:00,224.94,225.0999,224.84,224.845,158721
2024-08-26 11:32:00,224.85001,225.12,224.85001,225.09,182673
2024-08-26 11:36:00,225.10001,225.24001,225.07001,225.1825,216198
2024-08-26 11:40:00,225.185,225.39999,225.15421,225.36099,184520
2024-08-26 11:44:00,225.367,225.37,224.89999,225.11411,194029
2024-08-26 11:48:00,225.14,225.38,225.06,225.12,144402
2024-08-26 11:52:00,225.10001,225.11,224.75,224.87,129508
2024-08-26 11:56:00,224.868,224.9897,224.74001,224.87,166610
2024-08-26 12:00:00,224.84,224.96001,224.64,224.94991,130827
2024-08-26 12:04:00,224.9399,225.03,224.84,225.0038,191507
2024-08-26 12:08:00,225.02,225.17999,224.92999,225.14011,176374
2024-08-26 12:12:00,225.14011,225.17999,224.84,225.14931,997143
2024-08-26 12:16:00,225.1346,225.27499,225.1346,225.27,122444
2024-08-26 12:20:00,225.25,225.66499,225.25,225.5726,208214
2024-08-26 12:24:00,225.57001,225.69,225.57001,225.63,119100
2024-08-26 12:28:00,225.645,225.98,225.6424,225.96001,158254
2024-08-26 12:32:00,225.9433,225.96001,225.75,225.92,146960
2024-08-26 12:36:00,225.92999,225.96001,225.84,225.88,104592
2024-08-26 12:40:00,225.89,226.02,225.78999,226.015,143863
2024-08-26 12:44:00,226.0101,226.19,226.0101,226.0701,140126
2024-08-26 12:48:00,226.09,226.1478,226.00999,226.14,124724
2024-08-26 12:52:00,226.14,226.14,225.83,226.09,129971
2024-08-26 12:56:00,226.08,226.23,226.08,226.185,132272
2024-08-26 13:00:00,226.18871,226.27,226.12,226.22,169000
2024-08-26 13:04:00,226.22,226.39999,226.19501,226.32001,175570
2024-08-26 13:08:00,226.31,226.33,226.02,226.14999,177303
2024-08-26 13:12:00,226.1301,226.36,226.08,226.25999,143056
2024-08-26 13:16:00,226.27,226.31,225.95,226.02,129728
2024-08-26 13:20:00,226.00999,226.27,225.97,226.19,110386
2024-08-26 13:24:00,226.19,226.38,226.19,226.33051,123918
2024-08-26 13:28:00,226.325,226.35001,226.10941,226.25999,150454
2024-08-26 13:32:00,226.25,226.425,226.19,226.25999,154049
2024-08-26 13:36:00,226.24001,226.28999,225.67,225.74001,323582
2024-08-26 13:40:00,225.73,225.931,225.69,225.88,131124
2024-08-26 13:44:00,225.91499,225.99001,225.4532,225.7,157201
2024-08-26 13:48:00,225.67999,225.77499,225.53999,225.64,154762
2024-08-26 13:52:00,225.6301,225.6996,225.5,225.57001,109792
2024-08-26 13:56:00,225.56,225.73,225.44299,225.60001,129734
2024-08-26 14:00:00,225.61,225.7899,225.47,225.64999,140048
2024-08-26 14:04:00,225.66,225.73,225.46001,225.67,119846
2024-08-26 14:08:00,225.675,225.71001,225.52,225.57001,113935
2024-08-26 14:12:00,225.57001,225.84,225.56,225.765,151824
2024-08-26 14:16:00,225.77,225.77,225.56,225.66,123222
2024-08-26 14:20:00,225.65559,225.9135,225.65559,225.8335,179600
2024-08-26 14:24:00,225.85001,225.92999,225.71001,225.845,128464
2024-08-26 14:28:00,225.814,225.9299,225.7601,225.7901,92756
2024-08-26 14:32:00,225.8,226.125,225.78999,226.0899,152408
2024-08-26 14:36:00,226.03011,226.06,225.8261,225.91,91727
2024-08-26 14:40:00,225.91,226.16,225.89999,226.12,144611
2024-08-26 14:44:00,226.11,226.23,226.09,226.16,131264
2024-08-26 14:48:00,226.175,226.23,226.05009,226.2,123503
2024-08-26 14:52:00,226.19,226.23,226.084,226.20799,139760
2024-08-26 14:56:00,226.21001,226.34,226.1834,226.325,199565
2024-08-26 15:00:00,226.31,226.3651,226.175,226.35001,105617
2024-08-26 15:04:00,226.34,226.3494,226.12,226.2,161308
2024-08-26 15:08:00,226.2,226.35001,226.11501,226.3,214397
2024-08-26 15:12:00,226.315,226.42999,226.28081,226.355,202168
2024-08-26 15:16:00,226.355,226.50999,226.25999,226.47501,214221
