symbol,rank,scanCode,priceRange,avgVolumeAbove,changePercent,marketCapRange,location
RGC,0,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
FINV,1,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
BTU,2,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
KULR,3,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
ARQT,4,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
LAZR,5,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
LX,6,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
EDU,7,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
RLX,8,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
SLI,9,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
PRME,10,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
QSI,0,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
VTEX,1,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
AMPS,2,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
EIDO,3,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
INTR,4,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
ETHU,5,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
BITU,6,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
