symbol,rank,scanCode,priceRange,avgVolumeAbove,changePercent,marketCapRange,location
NKTX,0,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
SLNO,1,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
CNXC,2,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
MLGO,3,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
WOOF,4,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
RGLS,5,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
HTZ,6,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
JFIN,7,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
CAR,8,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
IBRX,9,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
SATL,10,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
ASPI,11,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
MIST,12,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
LAZR,13,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
YRD,14,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
PHH,15,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
NIU,16,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
GRO,17,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
BIOX,18,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
ETNB,19,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
PROP,20,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
ZGN,21,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
IPHA,22,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
CLNE,23,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
MLKN,24,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
RXST,25,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
DNTH,26,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
NVCT,27,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
AAP,28,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
PESI,29,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
ASM,30,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
HMR,31,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
WGO,32,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
TSHA,33,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
SIFY,34,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
IQ,35,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
HAIN,36,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
SNBR,37,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
NUS,38,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
DM,39,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
MTSR,40,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
SLN,41,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
TTI,42,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
AGQ,43,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
LX,44,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
VTEX,45,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
CLMT,46,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
RITR,47,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
BABX,48,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
ZLAB,49,TOP_PERC_GAIN,"(1, 100)",100000,4,"(100, 10000)",STK.US.MAJOR
LXEH,0,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
GME,1,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
ZYBT,2,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
DDD,3,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
VRNT,4,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
NFE,5,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
LZMH,6,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
RGC,7,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
AVR,8,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
SMCX,9,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
ADNT,10,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
FUFU,11,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
WVE,12,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
RDW,13,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
OKLO,14,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
LOT,15,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
PONY,16,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
KD,17,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
CRNC,18,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
CADL,19,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
TRUE,20,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
ALVO,21,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
AAOI,22,TOP_PERC_LOSE,"(1, 100)",100000,-4,"(100, 10000)",STK.US.MAJOR
