symbol,ls,snapshotTime,status,price,marketCap,currentPrice,peRatio,vol10dayAvg,vol_TODC,priceChgPct,breaksAbove10DayAvg,breaksAbove50MA,breaksAbove200MA,breaksBelow50MA,breaksBelow200MA,scoreVol,scoreGaps,scoreRTM,score_1D,validAv_1D
ONB,LONG,2025-03-21 13:23:14,DAILY_TA,21.37,6816.496,21.37,12.72387,2.84901,0.0,5.0,False,False,False,False,False,-99.89,0.0,75.0,-8.3,20.0
SSL,LONG,2025-03-21 13:23:14,DAILY_TA,4.22,2724.776,4.22,-99999.99,0.75747,0.0,5.0,False,False,False,False,False,-99.8,0.0,13.3,-28.83,0.0
CTEV,LONG,2025-03-21 13:23:14,DAILY_TA,19.9,332.8476,19.9,-99999.99,0.08118,0.0,5.0,False,True,False,False,False,-93.65,0.0,8.2,-28.48,0.0
TMCI,LONG,2025-03-21 13:23:14,DAILY_TA,8.22,514.7259,8.22,-99999.99,0.38167,0.0,5.0,False,False,False,False,False,-98.9,0.0,22.0,-25.63,0.0
KURA,LONG,2025-03-21 13:23:14,DAILY_TA,7.85,633.9265,7.85,-99999.99,1.22242,0.0,5.0,False,False,False,False,False,-99.55,33.3,64.2,-0.68,40.0
SOXS,LONG,2025-03-21 13:23:14,DAILY_TA,24.07,0.0,0.0,0.0,0.0,0.0,5.0,False,False,False,False,False,-66.31,0.0,5.9,-20.14,0.0
UAMY,LONG,2025-03-21 13:23:14,DAILY_TA,1.79,194.1207,1.79,-99999.99,1.52349,0.0,3.0,False,False,False,False,False,-27.26,0.0,49.1,7.28,0.0
DSP,LONG,2025-03-21 13:23:14,DAILY_TA,12.21,770.1306,12.21,170.6022,0.60146,0.0,-1.0,False,False,False,False,False,-28.06,0.0,3.1,-8.32,0.0
EWCZ,LONG,2025-03-21 13:23:14,DAILY_TA,3.97,221.9394,4.01,17.71906,0.90977,0.0,-1.0,False,False,False,False,False,9.19,0.0,45.2,18.13,0.0
ITRN,LONG,2025-03-21 13:23:14,DAILY_TA,36.76,734.4709,36.92,13.68928,0.15187,0.0,-0.0,False,False,False,False,False,-75.32,0.0,100.0,8.23,20.0
