Division,Division Description,Major Group,Major Group Description,Industry Group,Industry Group Description,SIC,Description
E,"Transportation, Communications, Electric, Gas, And Sanitary Services",49,"Electric, Gas, And Sanitary Services ",495,Sanitary Services,4959,"Sanitary Services, Not Elsewhere Classified"
E,"Transportation, Communications, Electric, Gas, And Sanitary Services",49,"Electric, Gas, And Sanitary Services ",496,Steam And Air-conditioning Supply,4961,Steam and Air-Conditioning Supply
E,"Transportation, Communications, Electric, Gas, And Sanitary Services",49,"Electric, Gas, And Sanitary Services ",497,Irrigation Systems,4971,Irrigation Systems
F,Wholesale Trade,50,Wholesale Trade-durable Goods,501,Motor Vehicles And Motor Vehicle Parts And Supplies,5012,Automobiles and Other Motor Vehicles
F,Wholesale Trade,50,Wholesale Trade-durable Goods,501,Motor Vehicles And Motor Vehicle Parts And Supplies,5013,Motor Vehicle Supplies and New Parts
F,Wholesale Trade,50,Wholesale Trade-durable Goods,501,Motor Vehicles And Motor Vehicle Parts And Supplies,5014,Tires and Tubes
F,Wholesale Trade,50,Wholesale Trade-durable Goods,501,Motor Vehicles And Motor Vehicle Parts And Supplies,5015,"Motor Vehicle Parts, Used"
F,Wholesale Trade,50,Wholesale Trade-durable Goods,502,Furniture And Home Furnishings,5021,Furniture
F,Wholesale Trade,50,Wholesale Trade-durable Goods,502,Furniture And Home Furnishings,5023,Home furnishings
F,Wholesale Trade,50,Wholesale Trade-durable Goods,503,Lumber And Other Construction Materials,5031,"Lumber, Plywood, Millwork, and Wood Panels"
F,Wholesale Trade,50,Wholesale Trade-durable Goods,503,Lumber And Other Construction Materials,5032,"Brick, Stone, and Related Construction Materials"
F,Wholesale Trade,50,Wholesale Trade-durable Goods,503,Lumber And Other Construction Materials,5033,"Roofing, Siding, and Insulation Materials"
F,Wholesale Trade,50,Wholesale Trade-durable Goods,503,Lumber And Other Construction Materials,5039,"Construction Materials, Not Elsewhere Classified"
F,Wholesale Trade,50,Wholesale Trade-durable Goods,504,Professional And Commercial Equipment And Supplies,5043,Photographic Equipment and Supplies
F,Wholesale Trade,50,Wholesale Trade-durable Goods,504,Professional And Commercial Equipment And Supplies,5044,Office Equipment
F,Wholesale Trade,50,Wholesale Trade-durable Goods,504,Professional And Commercial Equipment And Supplies,5045,Computers and Computer Peripheral Equipment and Software
F,Wholesale Trade,50,Wholesale Trade-durable Goods,504,Professional And Commercial Equipment And Supplies,5046,"Commercial Equipment, Not Elsewhere Classified"
F,Wholesale Trade,50,Wholesale Trade-durable Goods,504,Professional And Commercial Equipment And Supplies,5047,"Medical, Dental, and Hospital Equipment and Supplies"
F,Wholesale Trade,50,Wholesale Trade-durable Goods,504,Professional And Commercial Equipment And Supplies,5048,Ophthalmic Goods
F,Wholesale Trade,50,Wholesale Trade-durable Goods,504,Professional And Commercial Equipment And Supplies,5049,"Professional Equipment and Supplies, Not Elsewhere Classified"
F,Wholesale Trade,50,Wholesale Trade-durable Goods,505,"Metals And Minerals, Except Petroleum",5051,Metals Service Centers and Offices
F,Wholesale Trade,50,Wholesale Trade-durable Goods,505,"Metals And Minerals, Except Petroleum",5052,Coal and Other Minerals and Ores
F,Wholesale Trade,50,Wholesale Trade-durable Goods,506,Electrical Goods,5063,"Electrical Apparatus and Equipment Wiring Supplies, and Construction Materials"
F,Wholesale Trade,50,Wholesale Trade-durable Goods,506,Electrical Goods,5064,"Electrical Appliances, Television and Radio Sets"
F,Wholesale Trade,50,Wholesale Trade-durable Goods,506,Electrical Goods,5065,"Electronic Parts and Equipment, Not Elsewhere Classified"
F,Wholesale Trade,50,Wholesale Trade-durable Goods,507,"Hardware, And Plumbing And Heating Equipment",5072,Hardware
F,Wholesale Trade,50,Wholesale Trade-durable Goods,507,"Hardware, And Plumbing And Heating Equipment",5074,Plumbing and Heating Equipment and Supplies (Hydronics)
F,Wholesale Trade,50,Wholesale Trade-durable Goods,507,"Hardware, And Plumbing And Heating Equipment",5075,Warm Air Heating and Air-Conditioning Equipment and Supplies
F,Wholesale Trade,50,Wholesale Trade-durable Goods,507,"Hardware, And Plumbing And Heating Equipment",5078,Refrigeration Equipment and Supplies
F,Wholesale Trade,50,Wholesale Trade-durable Goods,508,"Machinery, Equipment, And Supplies",5082,Construction and Mining (Except Petroleum) Machinery and Equipment
F,Wholesale Trade,50,Wholesale Trade-durable Goods,508,"Machinery, Equipment, And Supplies",5083,Farm and Garden Machinery and Equipment
F,Wholesale Trade,50,Wholesale Trade-durable Goods,508,"Machinery, Equipment, And Supplies",5084,Industrial Machinery and Equipment
F,Wholesale Trade,50,Wholesale Trade-durable Goods,508,"Machinery, Equipment, And Supplies",5085,Industrial Supplies
F,Wholesale Trade,50,Wholesale Trade-durable Goods,508,"Machinery, Equipment, And Supplies",5087,Service Establishment Equipment and Supplies
F,Wholesale Trade,50,Wholesale Trade-durable Goods,508,"Machinery, Equipment, And Supplies",5088,"Transportation Equipment and Supplies, Except Motor Vehicles"
F,Wholesale Trade,50,Wholesale Trade-durable Goods,509,Miscellaneous Durable Goods,5091,Sporting and Recreational Goods and Supplies
F,Wholesale Trade,50,Wholesale Trade-durable Goods,509,Miscellaneous Durable Goods,5092,Toys and Hobby Goods and Supplies
F,Wholesale Trade,50,Wholesale Trade-durable Goods,509,Miscellaneous Durable Goods,5093,Scrap and Waste Materials
F,Wholesale Trade,50,Wholesale Trade-durable Goods,509,Miscellaneous Durable Goods,5094,"Jewelry, Watches, Precious Stones, and Precious Metals"
F,Wholesale Trade,50,Wholesale Trade-durable Goods,509,Miscellaneous Durable Goods,5099,"Durable Goods, Not Elsewhere Classified"
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,511,Paper And Paper Products,5111,Printing and Writing Paper
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,511,Paper And Paper Products,5112,Stationery and Office Supplies
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,511,Paper And Paper Products,5113,Industrial and Personal Service Paper
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,512,"Drugs, Drug Proprietaries, And Druggists' Sundries",5122,"Drugs, Drug Proprietaries, and Druggists' Sundries"
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,513,"Apparel, Piece Goods, And Notions",5131,"Piece Goods, Notions, and Other Dry Good"
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,513,"Apparel, Piece Goods, And Notions",5136,Men's and Boy's Clothing and Furnishings
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,513,"Apparel, Piece Goods, And Notions",5137,"Women's, Children's, and Infants' Clothing and Accessories"
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,513,"Apparel, Piece Goods, And Notions",5139,Footwear
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,514,Groceries And Related Products,5141,"Groceries, General Line"
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,514,Groceries And Related Products,5142,Packaged Frozen Foods
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,514,Groceries And Related Products,5143,"Dairy Products, Except Dried or Canned"
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,514,Groceries And Related Products,5144,Poultry and Poultry Products
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,514,Groceries And Related Products,5145,Confectionery
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,514,Groceries And Related Products,5146,Fish and Seafoods
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,514,Groceries And Related Products,5147,Meats and Meat Products
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,514,Groceries And Related Products,5148,Fresh Fruits and Vegetables
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,514,Groceries And Related Products,5149,"Groceries and Related Products, Not Elsewhere Classified"
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,515,Farm-product Raw Materials,5153,Grain and Field Beans
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,515,Farm-product Raw Materials,5154,Livestock
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,515,Farm-product Raw Materials,5159,"Farm-Product Raw Materials, Not Elsewhere Classified"
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,516,Chemicals And Allied Products,5162,Plastics Materials and Basic Forms and Shapes
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,516,Chemicals And Allied Products,5169,"Chemicals and Allied Products, Not Elsewhere Classified"
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,517,Petroleum And Petroleum Products,5171,Petroleum Bulk stations and Terminals
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,517,Petroleum And Petroleum Products,5172,"Petroleum and Petroleum Products Wholesalers, Except Bulk Stations and Terminals"
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,518,"Beer, Wine, And Distilled Alcoholic Beverages",5181,Beer and Ale
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,518,"Beer, Wine, And Distilled Alcoholic Beverages",5182,Wine and Distilled Alcoholic Beverages
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,519,Miscellaneous Non-durable Goods,5191,Farm Supplies
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,519,Miscellaneous Non-durable Goods,5192,"Books, Periodicals, and Newspapers"
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,519,Miscellaneous Non-durable Goods,5193,"Flowers, Nursery Stock, and Florists' Supplies"
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,519,Miscellaneous Non-durable Goods,5194,Tobacco and Tobacco Products
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,519,Miscellaneous Non-durable Goods,5198,"Paints, Varnishes, and Supplies"
F,Wholesale Trade,51,Wholesale Trade-non-durable Goods,519,Miscellaneous Non-durable Goods,5199,"Nondurable Goods, Not Elsewhere Classified"
G,Retail Trade,52,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",521,Lumber And Other Building Materials Dealers,5211,Lumber and Other Building Materials Dealers
G,Retail Trade,52,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",523,"Paint, Glass And Wallpaper Stores",5231,"Paint, Glass, and Wallpaper Stores"
G,Retail Trade,52,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",525,Hardware Stores,5251,Hardware Stores
G,Retail Trade,52,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",526,"Retail Nurseries, Lawn And Garden Supply Stores",5261,"Retail Nurseries, Lawn and Garden Supply Stores"
G,Retail Trade,52,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",527,Mobile Home Dealers,5271,Mobile Home Dealers
G,Retail Trade,53,General Merchandise Stores,531,Department Stores,5311,Department Stores
G,Retail Trade,53,General Merchandise Stores,533,Variety Stores,5331,Variety Stores
G,Retail Trade,53,General Merchandise Stores,539,Miscellaneous General Merchandise Stores,5399,Miscellaneous General Merchandise Stores
G,Retail Trade,54,Food Stores,541,Grocery Stores,5411,Grocery Stores
G,Retail Trade,54,Food Stores,542,"Meat And Fish (seafood) Markets, Including",5421,"Meat and Fish (Seafood) Markets, Including Freezer Provisioners"
G,Retail Trade,54,Food Stores,543,Fruit And Vegetable Markets,5431,Fruit and Vegetable Markets
G,Retail Trade,54,Food Stores,544,"Candy, Nut, And Confectionery Stores",5441,"Candy, Nut, and Confectionery Stores"
G,Retail Trade,54,Food Stores,545,Dairy Products Stores,5451,Dairy Products Stores
G,Retail Trade,54,Food Stores,546,Retail Bakeries,5461,Retail Bakeries
G,Retail Trade,54,Food Stores,549,Miscellaneous Food Stores,5499,Miscellaneous Food Stores
G,Retail Trade,55,Automotive Dealers And Gasoline Service Stations,551,Motor Vehicle Dealers (new And Used),5511,Motor Vehicle Dealers (New and Used)
G,Retail Trade,55,Automotive Dealers And Gasoline Service Stations,552,Motor Vehicle Dealers (used Only),5521,Motor Vehicle Dealers (Used Only)
G,Retail Trade,55,Automotive Dealers And Gasoline Service Stations,553,Auto And Home Supply Stores,5531,Auto and Home Supply Stores
G,Retail Trade,55,Automotive Dealers And Gasoline Service Stations,554,Gasoline Service Stations,5541,Gasoline Service Stations
G,Retail Trade,55,Automotive Dealers And Gasoline Service Stations,555,Boat Dealers,5551,Boat Dealers
G,Retail Trade,55,Automotive Dealers And Gasoline Service Stations,556,Recreational Vehicle Dealers,5561,Recreational Vehicle Dealers
G,Retail Trade,55,Automotive Dealers And Gasoline Service Stations,557,Motorcycle Dealers,5571,Motorcycle Dealers
G,Retail Trade,55,Automotive Dealers And Gasoline Service Stations,559,"Automotive Dealers, Not Elsewhere Classified",5599,"Automotive Dealers, Not Elsewhere Classified"
G,Retail Trade,56,Apparel And Accessory Stores,561,Men's And Boys' Clothing And Accessory Stores,5611,Men's and Boys' Clothing and Accessory Stores
G,Retail Trade,56,Apparel And Accessory Stores,562,Women's Clothing Stores,5621,Women's Clothing Stores
G,Retail Trade,56,Apparel And Accessory Stores,563,Women's Accessory And Specialty Stores,5632,Women's Accessory and Specialty Stores
G,Retail Trade,56,Apparel And Accessory Stores,564,Children's And Infants' Wear Stores,5641,Children's and Infants' Wear Stores
G,Retail Trade,56,Apparel And Accessory Stores,565,Family Clothing Stores,5651,Family Clothing Stores
G,Retail Trade,56,Apparel And Accessory Stores,566,Shoe Stores,5661,Shoe Stores
G,Retail Trade,56,Apparel And Accessory Stores,569,Miscellaneous Apparel And Accessory Stores,5699,Miscellaneous Apparel and Accessory Stores
G,Retail Trade,57,"Home Furniture, Furnishings, And Equipment Stores",571,Home Furniture And Furnishings Stores,5712,Furniture Stores
G,Retail Trade,57,"Home Furniture, Furnishings, And Equipment Stores",571,Home Furniture And Furnishings Stores,5713,Floor Covering Stores
G,Retail Trade,57,"Home Furniture, Furnishings, And Equipment Stores",571,Home Furniture And Furnishings Stores,5714,"Drapery, Curtain, and Upholstery Stores"
G,Retail Trade,57,"Home Furniture, Furnishings, And Equipment Stores",571,Home Furniture And Furnishings Stores,5719,Miscellaneous home furnishings Stores
G,Retail Trade,57,"Home Furniture, Furnishings, And Equipment Stores",572,Household Appliance Stores,5722,Household Appliance Stores
G,Retail Trade,57,"Home Furniture, Furnishings, And Equipment Stores",573,"Radio, Television, Consumer Electronics, And Music Stores",5731,"Radio, Television, and Consumer Electronics Stores"
G,Retail Trade,57,"Home Furniture, Furnishings, And Equipment Stores",573,"Radio, Television, Consumer Electronics, And Music Stores",5734,Computer and Computer Software Stores
G,Retail Trade,57,"Home Furniture, Furnishings, And Equipment Stores",573,"Radio, Television, Consumer Electronics, And Music Stores",5735,Record and Prerecorded Tape Stores
G,Retail Trade,57,"Home Furniture, Furnishings, And Equipment Stores",573,"Radio, Television, Consumer Electronics, And Music Stores",5736,Musical Instrument Stores
G,Retail Trade,58,Eating And Drinking Places,581,Eating And Drinking Places,5812,Eating Places
G,Retail Trade,58,Eating And Drinking Places,581,Eating And Drinking Places,5813,Drinking Places (alcoholic Beverages)
G,Retail Trade,59,Miscellaneous Retail ,591,Drug Stores And Proprietary Stores,5912,Drug Stores and Proprietary Stores
G,Retail Trade,59,Miscellaneous Retail ,592,Liquor Stores,5921,Liquor Stores
G,Retail Trade,59,Miscellaneous Retail ,593,Used Merchandise Stores,5932,Used Merchandise Stores
G,Retail Trade,59,Miscellaneous Retail ,594,Miscellaneous Shopping Goods Stores,5941,Sporting Goods Stores and Bicycle Shops
G,Retail Trade,59,Miscellaneous Retail ,594,Miscellaneous Shopping Goods Stores,5942,Book Stores
G,Retail Trade,59,Miscellaneous Retail ,594,Miscellaneous Shopping Goods Stores,5943,Stationery Stores
G,Retail Trade,59,Miscellaneous Retail ,594,Miscellaneous Shopping Goods Stores,5944,Jewelry Stores
G,Retail Trade,59,Miscellaneous Retail ,594,Miscellaneous Shopping Goods Stores,5945,"Hobby, Toy, and Game Shops"
G,Retail Trade,59,Miscellaneous Retail ,594,Miscellaneous Shopping Goods Stores,5946,Camera and Photographic Supply Stores
G,Retail Trade,59,Miscellaneous Retail ,594,Miscellaneous Shopping Goods Stores,5947,"Gift, Novelty, and Souvenir Shops"
G,Retail Trade,59,Miscellaneous Retail ,594,Miscellaneous Shopping Goods Stores,5948,Luggage and Leather Goods Stores
G,Retail Trade,59,Miscellaneous Retail ,594,Miscellaneous Shopping Goods Stores,5949,"Sewing, Needlework, and Piece Goods Stores"
G,Retail Trade,59,Miscellaneous Retail ,596,Nonstore Retailers,5961,Catalog and Mail-Order Houses
G,Retail Trade,59,Miscellaneous Retail ,596,Nonstore Retailers,5962,Automatic Merchandising Machine Operators
G,Retail Trade,59,Miscellaneous Retail ,596,Nonstore Retailers,5963,Direct Selling Establishments
G,Retail Trade,59,Miscellaneous Retail ,598,Fuel Dealers,5983,Fuel Oil Dealers
G,Retail Trade,59,Miscellaneous Retail ,598,Fuel Dealers,5984,Liquefied Petroleum Gas (Bottled Gas) Dealers
G,Retail Trade,59,Miscellaneous Retail ,598,Fuel Dealers,5989,"Fuel Dealers, Not Elsewhere Classified"
G,Retail Trade,59,Miscellaneous Retail ,599,"Retail Stores, Not Elsewhere Classified",5992,Florists
G,Retail Trade,59,Miscellaneous Retail ,599,"Retail Stores, Not Elsewhere Classified",5993,Tobacco Stores and Stands
G,Retail Trade,59,Miscellaneous Retail ,599,"Retail Stores, Not Elsewhere Classified",5994,News Dealers and Newsstands
G,Retail Trade,59,Miscellaneous Retail ,599,"Retail Stores, Not Elsewhere Classified",5995,Optical Goods Stores
G,Retail Trade,59,Miscellaneous Retail ,599,"Retail Stores, Not Elsewhere Classified",5999,"Miscellaneous Retail Stores, Not Elsewhere Classified"
H,"Finance, Insurance, And Real Estate",60,Depository Institutions,601,Central Reserve Depository Institutions,6011,Federal Reserve Banks
H,"Finance, Insurance, And Real Estate",60,Depository Institutions,601,Central Reserve Depository Institutions,6019,"Central Reserve Depository Institutions, Not Elsewhere Classified"
H,"Finance, Insurance, And Real Estate",60,Depository Institutions,602,Commercial Banks,6021,National Commercial Banks
H,"Finance, Insurance, And Real Estate",60,Depository Institutions,602,Commercial Banks,6022,State Commercial Banks
H,"Finance, Insurance, And Real Estate",60,Depository Institutions,602,Commercial Banks,6029,"Commercial Banks, Not Elsewhere Classified"
H,"Finance, Insurance, And Real Estate",60,Depository Institutions,603,Savings Institutions,6035,"Savings Institutions, Federally Chartered"
H,"Finance, Insurance, And Real Estate",60,Depository Institutions,603,Savings Institutions,6036,"Savings Institutions, Not Federally Chartered"
H,"Finance, Insurance, And Real Estate",60,Depository Institutions,606,Credit Unions,6061,"Credit Unions, Federally Chartered"
H,"Finance, Insurance, And Real Estate",60,Depository Institutions,606,Credit Unions,6062,"Credit Unions, Not Federally Chartered"
H,"Finance, Insurance, And Real Estate",60,Depository Institutions,608,Foreign Banking And Branches And Agencies Of,6081,Branches and Agencies of Foreign Banks
H,"Finance, Insurance, And Real Estate",60,Depository Institutions,608,Foreign Banking And Branches And Agencies Of,6082,Foreign Trade and International Banking Institutions
H,"Finance, Insurance, And Real Estate",60,Depository Institutions,609,Functions Related To Depository Banking,6091,"Non-deposit Trust Facilities,"
H,"Finance, Insurance, And Real Estate",60,Depository Institutions,609,Functions Related To Depository Banking,6099,"Functions Related to Depository Banking, Not Elsewhere Classified"
H,"Finance, Insurance, And Real Estate",61,Non-depository Credit Institutions,611,Federal And Federally-sponsored Credit Agencies,6111,Federal and Federally-Sponsored Credit Agencies
H,"Finance, Insurance, And Real Estate",61,Non-depository Credit Institutions,614,Personal Credit Institutions,6141,Personal Credit Institutions
H,"Finance, Insurance, And Real Estate",61,Non-depository Credit Institutions,615,Business Credit Institutions,6153,"Short-Term Business Credit Institutions, Except Agricultural"
H,"Finance, Insurance, And Real Estate",61,Non-depository Credit Institutions,615,Business Credit Institutions,6159,Miscellaneous business Credit Institutions
H,"Finance, Insurance, And Real Estate",61,Non-depository Credit Institutions,616,Mortgage Bankers And Brokers,6162,Mortgage Bankers and Loan Correspondents
H,"Finance, Insurance, And Real Estate",61,Non-depository Credit Institutions,616,Mortgage Bankers And Brokers,6163,Loan Brokers
H,"Finance, Insurance, And Real Estate",62,"Security And Commodity Brokers, Dealers, Exchanges, And Services",621,"Security Brokers, Dealers, And Flotation",6211,"Security Brokers, Dealers, and Flotation Companies"
H,"Finance, Insurance, And Real Estate",62,"Security And Commodity Brokers, Dealers, Exchanges, And Services",622,Commodity Contracts Brokers And Dealers,6221,Commodity Contracts Brokers and Dealers
H,"Finance, Insurance, And Real Estate",62,"Security And Commodity Brokers, Dealers, Exchanges, And Services",623,Security And Commodity Exchanges,6231,Security and Commodity Exchanges
H,"Finance, Insurance, And Real Estate",62,"Security And Commodity Brokers, Dealers, Exchanges, And Services",628,Services Allied With The Exchange Of Securities,6282,Investment Advice
H,"Finance, Insurance, And Real Estate",62,"Security And Commodity Brokers, Dealers, Exchanges, And Services",628,Services Allied With The Exchange Of Securities,6289,"Services Allied With the Exchange of Securities or Commodities, Not Elsewhere Classified"
H,"Finance, Insurance, And Real Estate",63,Insurance Carriers,631,Life Insurance,6311,Life Insurance
H,"Finance, Insurance, And Real Estate",63,Insurance Carriers,632,Accident And Health Insurance And Medical,6321,Accident and Health Insurance
H,"Finance, Insurance, And Real Estate",63,Insurance Carriers,632,Accident And Health Insurance And Medical,6324,Hospital and Medical Service Plans
H,"Finance, Insurance, And Real Estate",63,Insurance Carriers,633,"Fire, Marine, And Casualty Insurance",6331,"Fire, Marine, and Casualty Insurance"
H,"Finance, Insurance, And Real Estate",63,Insurance Carriers,635,Surety Insurance,6351,Surety Insurance
H,"Finance, Insurance, And Real Estate",63,Insurance Carriers,636,Title Insurance,6361,Title Insurance
H,"Finance, Insurance, And Real Estate",63,Insurance Carriers,637,"Pension, Health, And Welfare Funds",6371,"Pension, Health, and Welfare Funds"
H,"Finance, Insurance, And Real Estate",63,Insurance Carriers,639,"Insurance Carriers, Not Elsewhere Classified",6399,"Insurance Carriers, Not Elsewhere Classified"
H,"Finance, Insurance, And Real Estate",64,"Insurance Agents, Brokers, And Service",641,"Insurance Agents, Brokers, And Service",6411,"Insurance Agents, Brokers, and Service"
H,"Finance, Insurance, And Real Estate",65,Real Estate,651,Real Estate Operators (except Developers) And Lessors,6512,Operators of Nonresidential Buildings
H,"Finance, Insurance, And Real Estate",65,Real Estate,651,Real Estate Operators (except Developers) And Lessors,6513,Operators of Apartment Buildings
H,"Finance, Insurance, And Real Estate",65,Real Estate,651,Real Estate Operators (except Developers) And Lessors,6514,Operators of Dwellings Other Than Apartment Buildings
H,"Finance, Insurance, And Real Estate",65,Real Estate,651,Real Estate Operators (except Developers) And Lessors,6515,Operators of Residential Mobile Home Sites
H,"Finance, Insurance, And Real Estate",65,Real Estate,651,Real Estate Operators (except Developers) And Lessors,6517,Lessors of Railroad Property
H,"Finance, Insurance, And Real Estate",65,Real Estate,651,Real Estate Operators (except Developers) And Lessors,6519,"Lessors of Real Property, Not Elsewhere Classified"
H,"Finance, Insurance, And Real Estate",65,Real Estate,653,Real Estate Agents And Managers,6531,Real Estate Agents and Managers
H,"Finance, Insurance, And Real Estate",65,Real Estate,654,Title Abstract Offices,6541,Title Abstract Offices
H,"Finance, Insurance, And Real Estate",65,Real Estate,655,Land Subdividers And Developers,6552,"Land Subdividers and Developers, Except Cemeteries"
H,"Finance, Insurance, And Real Estate",65,Real Estate,655,Land Subdividers And Developers,6553,Cemetery Subdividers and Developers
H,"Finance, Insurance, And Real Estate",67,Holding And Other Investment Offices,671,Holding Offices,6712,Offices of Bank Holding Companies
H,"Finance, Insurance, And Real Estate",67,Holding And Other Investment Offices,671,Holding Offices,6719,"Offices of Holding Companies, Not Elsewhere Classified"
H,"Finance, Insurance, And Real Estate",67,Holding And Other Investment Offices,672,Investment Offices,6722,"Management Investment Offices, Open-End"
H,"Finance, Insurance, And Real Estate",67,Holding And Other Investment Offices,672,Investment Offices,6726,"Unit Investment Trusts, Face-Amount Certificate Offices, and Closed-End Management Investment Offices"
H,"Finance, Insurance, And Real Estate",67,Holding And Other Investment Offices,673,Trusts,6732,"Educational, Religious, and Charitable Trusts"
H,"Finance, Insurance, And Real Estate",67,Holding And Other Investment Offices,673,Trusts,6733,"Trusts, Except Educational, Religious, and Charitable"
H,"Finance, Insurance, And Real Estate",67,Holding And Other Investment Offices,679,Miscellaneous Investing,6792,Oil Royalty Traders
H,"Finance, Insurance, And Real Estate",67,Holding And Other Investment Offices,679,Miscellaneous Investing,6794,Patent Owners and Lessors
H,"Finance, Insurance, And Real Estate",67,Holding And Other Investment Offices,679,Miscellaneous Investing,6798,Real Estate Investment Trusts
H,"Finance, Insurance, And Real Estate",67,Holding And Other Investment Offices,679,Miscellaneous Investing,6799,"Investors, Not Elsewhere Classified"
I,Services,70,"Hotels, Rooming Houses, Camps, And Other Lodging Places",701,Hotels And Motels,7011,Hotels and Motels
I,Services,70,"Hotels, Rooming Houses, Camps, And Other Lodging Places",702,Rooming And Boarding Houses,7021,Rooming and Boarding Houses
I,Services,70,"Hotels, Rooming Houses, Camps, And Other Lodging Places",703,Camps And Recreational Vehicle Parks,7032,Sporting and Recreational Camps
I,Services,70,"Hotels, Rooming Houses, Camps, And Other Lodging Places",703,Camps And Recreational Vehicle Parks,7033,Recreational Vehicle Parks and Campsites
I,Services,70,"Hotels, Rooming Houses, Camps, And Other Lodging Places",704,"Organization Hotels And Lodging Houses, On",7041,"Organization Hotels and Lodging Houses, on Membership Basis"
I,Services,72,Personal Services,721,"Laundry, Cleaning, And Garment Services",7211,"Power Laundries, Family and Commercial"
I,Services,72,Personal Services,721,"Laundry, Cleaning, And Garment Services",7212,"Garment Pressing, and Agents for Laundries and Drycleaners"
I,Services,72,Personal Services,721,"Laundry, Cleaning, And Garment Services",7213,Linen Supply
I,Services,72,Personal Services,721,"Laundry, Cleaning, And Garment Services",7215,Coin-Operated Laundries and Drycleaning
I,Services,72,Personal Services,721,"Laundry, Cleaning, And Garment Services",7216,"Drycleaning Plants, Except Rug Cleaning"
I,Services,72,Personal Services,721,"Laundry, Cleaning, And Garment Services",7217,Carpet and Upholstery Cleaning
I,Services,72,Personal Services,721,"Laundry, Cleaning, And Garment Services",7218,Industrial Launderers
I,Services,72,Personal Services,721,"Laundry, Cleaning, And Garment Services",7219,"Laundry and Garment Services, Not Elsewhere Classified"
I,Services,72,Personal Services,722,"Photographic Studios, Portrait",7221,"Photographic Studios, Portrait"
I,Services,72,Personal Services,723,Beauty Shops,7231,Beauty Shops
I,Services,72,Personal Services,724,Barber Shops,7241,Barber Shops
I,Services,72,Personal Services,725,Shoe Repair Shops And Shoeshine Parlors,7251,Shoe Repair Shops and Shoeshine Parlors
I,Services,72,Personal Services,726,Funeral Service And Crematories,7261,Funeral Service and Crematories
I,Services,72,Personal Services,729,Miscellaneous Personal Services,7291,Tax Return Preparation Services
I,Services,72,Personal Services,729,Miscellaneous Personal Services,7299,"Miscellaneous Personal Services, Not Elsewhere Classified"
I,Services,73,Business Services,731,Advertising,7311,Advertising Agencies
I,Services,73,Business Services,731,Advertising,7312,Outdoor Advertising Services
I,Services,73,Business Services,731,Advertising,7313,"Radio, Television, and Publishers' Advertising Representatives"
I,Services,73,Business Services,731,Advertising,7319,"Advertising, Not Elsewhere Classified"
I,Services,73,Business Services,732,"Consumer Credit Reporting Agencies, Mercantile",7322,Adjustment and Collection Services
I,Services,73,Business Services,732,"Consumer Credit Reporting Agencies, Mercantile",7323,Credit Reporting Services
I,Services,73,Business Services,733,"Mailing, Reproduction, Commercial Art And Photography, and Stenographic Services",7331,Direct Mail Advertising Services
I,Services,73,Business Services,733,"Mailing, Reproduction, Commercial Art And Photography, and Stenographic Services",7334,Photocopying and Duplicating Services
I,Services,73,Business Services,733,"Mailing, Reproduction, Commercial Art And Photography, and Stenographic Services",7335,Commercial Photography
