Symbol,Exchange,Current Price,Previous Close,Volume,Gap %,High,Low,Date,Previous Date
GORV,SMART,1.03,0.92,69002.53,11.96,1.96,0.96,2024-11-14,2024-11-13
TSLZ,SMART,4.95,4.43,375008.6,11.74,4.97,4.44,2024-11-14,2024-11-13
TSLQ,SMART,9.03,8.09,285208.35,11.62,9.08,8.11,2024-11-14,2024-11-13
LABD,SMART,6.1,5.58,264629.71,9.32,6.12,5.57,2024-11-14,2024-11-13
SEDG,SMART,12.83,12.1,61160.06,6.03,13.48,11.67,2024-11-14,2024-11-13
SOUN,SMART,6.63,6.27,636816.71,5.74,7.16,6.32,2024-11-14,2024-11-13
AG,SMART,6.45,6.18,121575.24,4.37,6.59,6.11,2024-11-14,2024-11-13
TZA,SMART,11.42,10.96,369136.78,4.2,11.52,10.79,2024-11-14,2024-11-13
MARA,SMART,20.79,21.7,404469.36,-4.19,22.9,20.18,2024-11-14,2024-11-13
LCID,SMART,2.08,2.18,633497.11,-4.59,2.22,2.07,2024-11-14,2024-11-13
HUT,SMART,23.14,24.78,58034.02,-6.62,26.45,23.12,2024-11-14,2024-11-13
CLSK,SMART,13.98,14.98,289374.79,-6.68,15.58,13.7,2024-11-14,2024-11-13
BITF,SMART,2.11,2.265,374819.83,-6.84,2.38,2.1,2024-11-14,2024-11-13
RKLB,SMART,17.36,18.83,309184.01,-7.81,19.43,17.25,2024-11-14,2024-11-13
SMCI,SMART,18.01,20.33,771694.96,-11.41,19.24,17.36,2024-11-14,2024-11-13
TSLL,SMART,17.61,19.92,746437.3,-11.6,19.88,17.52,2024-11-14,2024-11-13
LUNR,SMART,10.23,11.76,440935.09,-13.01,14.9,10.11,2024-11-14,2024-11-13
RIVN,SMART,10.31,12.03,734507.84,-14.3,11.99,10.22,2024-11-14,2024-11-13
